dataset_label,ablation_model,target_col,feature_blocks,feature_list,n_features,row_count,station_count,fold_count,cv_scheme,ridge_backend,fallback_used,imputation_method,scaling_method,alpha_used,sys_executable,command_run,official_ge_31_count,official_ge_33_count,MAE_official_ge_31,bias_official_ge_31,top_decile_threshold,top_decile_count,top_decile_residual_MAE,top_decile_residual_bias
hourly_max,L1_full_dynamic,official_wbgt_c_max,proxy;weather_core;radiation_basic;radiation_extra;time;inertia,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;direct_radiation;diffuse_radiation;hour_sin_v09;hour_cos_v09;shortwave_3h_mean;shortwave_lag_1h;shortwave_lag_2h;cumulative_day_shortwave_whm2;cumulative_day_shortwave_hourly_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean,19,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1196,119,1.5674383834744214,-1.508331252741297,31.1,1112,1.6022417985777857,-1.5505270270914944
hourly_max,L1_proxy_inertia,official_wbgt_c_max,proxy;inertia,wbgt_proxy_v09_c;shortwave_3h_mean;shortwave_lag_1h;shortwave_lag_2h;cumulative_day_shortwave_whm2;cumulative_day_shortwave_hourly_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean,10,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1196,119,1.7606151019915421,-1.7306497697198013,31.1,1112,1.8005673924141365,-1.7746862643049572
hourly_max,L1_proxy_only,official_wbgt_c_max,proxy,wbgt_proxy_v09_c,1,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1196,119,2.381247611757301,-2.378490419974539,31.1,1112,2.427540789806043,-2.4251169045877963
hourly_max,L1_proxy_radiation,official_wbgt_c_max,proxy;radiation_basic;radiation_extra,wbgt_proxy_v09_c;shortwave_radiation;cloud_cover;direct_radiation;diffuse_radiation,5,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1196,119,1.7179392760246683,-1.6605646013201087,31.1,1112,1.7463825812902738,-1.6921681025530166
hourly_max,L1_proxy_time,official_wbgt_c_max,proxy;time,wbgt_proxy_v09_c;hour_sin_v09;hour_cos_v09,3,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1196,119,1.8474931178478542,-1.8394050785638887,31.1,1112,1.8990697220549415,-1.8916399375634658
hourly_max,L1_proxy_weather,official_wbgt_c_max,proxy;weather_core,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m,4,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1196,119,2.1841383536011048,-2.1824848279836044,31.1,1112,2.2299892531893284,-2.2290838605107846
hourly_max,L1_proxy_weather_inertia,official_wbgt_c_max,proxy;weather_core;inertia,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_3h_mean;shortwave_lag_1h;shortwave_lag_2h;cumulative_day_shortwave_whm2;cumulative_day_shortwave_hourly_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean,13,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1196,119,1.7582639251656236,-1.7414992300907997,31.1,1112,1.8004777011228226,-1.7868602928236164
hourly_max,L1_proxy_weather_radiation,official_wbgt_c_max,proxy;weather_core;radiation_basic;radiation_extra,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;direct_radiation;diffuse_radiation,8,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1196,119,1.720328316201102,-1.6738373956909962,31.1,1112,1.7493097992013724,-1.7063228709680296
hourly_max,L1_proxy_weather_time,official_wbgt_c_max,proxy;weather_core;time,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;hour_sin_v09;hour_cos_v09,6,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1196,119,1.7530140903084248,-1.7455101176095973,31.1,1112,1.8025228130055384,-1.7966308412982905
hourly_max,M4_like_inertia_ridge,official_wbgt_c_max,m4_like_inertia,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_lag_1h;shortwave_lag_2h;shortwave_3h_mean;cumulative_day_shortwave_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean;diffuse_fraction;direct_fraction;cloud_cover;hour_sin_v09;hour_cos_v09,18,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1196,119,1.5712671272927585,-1.5251688349245418,31.1,1112,1.6092667480301703,-1.570799653369628
hourly_max,M7_like_compact_weather_ridge,official_wbgt_c_max,m7_like_compact_weather,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_3h_mean;hour_sin_v09;hour_cos_v09,8,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1196,119,1.58746964598923,-1.5448401439770791,31.1,1112,1.626430155022614,-1.5888600038190734
hourly_mean,L1_full_dynamic,official_wbgt_c_mean,proxy;weather_core;radiation_basic;radiation_extra;time;inertia,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;direct_radiation;diffuse_radiation;hour_sin_v09;hour_cos_v09;shortwave_3h_mean;shortwave_lag_1h;shortwave_lag_2h;cumulative_day_shortwave_whm2;cumulative_day_shortwave_hourly_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean,19,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,623,30,1.8196607514600354,-1.8127595583508105,30.45,1059,1.5814926813630035,-1.5533768700397967
hourly_mean,L1_proxy_inertia,official_wbgt_c_mean,proxy;inertia,wbgt_proxy_v09_c;shortwave_3h_mean;shortwave_lag_1h;shortwave_lag_2h;cumulative_day_shortwave_whm2;cumulative_day_shortwave_hourly_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean,10,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,623,30,2.031119065921053,-2.0307525705326457,30.45,1059,1.7534964142893072,-1.7446782881054739
