dataset_label,ablation_model,target_col,feature_blocks,feature_list,n_features,row_count,station_count,fold_count,cv_scheme,ridge_backend,fallback_used,imputation_method,scaling_method,alpha_used,sys_executable,command_run,worst_station_MAE,worst_station_MAE_station_id,worst_station_abs_bias,worst_station_abs_bias_station_id,n,MAE,RMSE,bias,R2,fixed_31_TP,fixed_31_FP,fixed_31_TN,fixed_31_FN,fixed_31_precision,fixed_31_recall,fixed_31_F1,fixed_31_official_event_count,fixed_31_predicted_event_count,fixed_33_TP,fixed_33_FP,fixed_33_TN,fixed_33_FN,fixed_33_precision,fixed_33_recall,fixed_33_F1,fixed_33_official_event_count,fixed_33_predicted_event_count,official_ge_31_count,official_ge_33_count,MAE_official_ge_31,bias_official_ge_31,top_decile_threshold,top_decile_count,top_decile_residual_MAE,top_decile_residual_bias
hourly_max,L1_full_dynamic,official_wbgt_c_max,proxy;weather_core;radiation_basic;radiation_extra;time;inertia,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;direct_radiation;diffuse_radiation;hour_sin_v09;hour_cos_v09;shortwave_3h_mean;shortwave_lag_1h;shortwave_lag_2h;cumulative_day_shortwave_whm2;cumulative_day_shortwave_hourly_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean,19,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1.2308286781368492,S142,0.7656986172202389,S139,10473,0.9495674777234262,1.2978252969043718,0.003986167899753382,0.6866321336151759,355,119,9158,841,0.7489451476793249,0.2968227424749164,0.42514970059880236,1196,474,0,0,10354,119,,0.0,,119,0,1196,119,1.5674383834744214,-1.508331252741297,31.1,1112,1.6022417985777857,-1.5505270270914944
hourly_max,L1_proxy_inertia,official_wbgt_c_max,proxy;inertia,wbgt_proxy_v09_c;shortwave_3h_mean;shortwave_lag_1h;shortwave_lag_2h;cumulative_day_shortwave_whm2;cumulative_day_shortwave_hourly_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean,10,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1.3208240591324443,S142,0.7005760906514905,S137,10473,1.0259970418112716,1.3841820318068678,0.0012739757905136106,0.6435419678984751,271,117,9160,925,0.6984536082474226,0.2265886287625418,0.3421717171717171,1196,388,0,0,10354,119,,0.0,,119,0,1196,119,1.7606151019915421,-1.7306497697198013,31.1,1112,1.8005673924141365,-1.7746862643049572
hourly_max,L1_proxy_only,official_wbgt_c_max,proxy,wbgt_proxy_v09_c,1,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1.6717396689393185,S139,0.7543843928119989,S139,10473,1.2639699644003985,1.5920730278644533,-0.0002744168232785705,0.5284280547923519,51,8,9269,1145,0.864406779661017,0.042642140468227424,0.08127490039840637,1196,59,0,0,10354,119,,0.0,,119,0,1196,119,2.381247611757301,-2.378490419974539,31.1,1112,2.427540789806043,-2.4251169045877963
hourly_max,L1_proxy_radiation,official_wbgt_c_max,proxy;radiation_basic;radiation_extra,wbgt_proxy_v09_c;shortwave_radiation;cloud_cover;direct_radiation;diffuse_radiation,5,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1.3150297719701296,S142,0.7168812105368697,S137,10473,1.0101392479223916,1.3902008275262412,0.0001599502739397909,0.6404352774185407,331,194,9083,865,0.6304761904761905,0.27675585284280935,0.3846600813480534,1196,525,0,0,10354,119,,0.0,,119,0,1196,119,1.7179392760246683,-1.6605646013201087,31.1,1112,1.7463825812902738,-1.6921681025530166
hourly_max,L1_proxy_time,official_wbgt_c_max,proxy;time,wbgt_proxy_v09_c;hour_sin_v09;hour_cos_v09,3,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1.354848201074982,S142,0.6633788222823732,S137,10473,1.0408006256188675,1.3838754838560405,0.0006659184253089944,0.6436998364112557,134,24,9253,1062,0.8481012658227848,0.11204013377926421,0.19793205317577545,1196,158,0,0,10354,119,,0.0,,119,0,1196,119,1.8474931178478542,-1.8394050785638887,31.1,1112,1.8990697220549415,-1.8916399375634658
hourly_max,L1_proxy_weather,official_wbgt_c_max,proxy;weather_core,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m,4,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1.5726039407270855,S139,1.1095932214119502,S139,10473,1.1733212394286576,1.500839832960831,0.002480393444549943,0.5809260306325915,14,7,9270,1182,0.6666666666666666,0.011705685618729096,0.023007395234182416,1196,21,0,0,10354,119,,0.0,,119,0,1196,119,2.1841383536011048,-2.1824848279836044,31.1,1112,2.2299892531893284,-2.2290838605107846
hourly_max,L1_proxy_weather_inertia,official_wbgt_c_max,proxy;weather_core;inertia,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_3h_mean;shortwave_lag_1h;shortwave_lag_2h;cumulative_day_shortwave_whm2;cumulative_day_shortwave_hourly_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean,13,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1.3176659216112556,S142,0.8260862060087963,S139,10473,1.024634744952076,1.3835489823612535,0.0036909787936730463,0.6438679423052271,237,85,9192,959,0.7360248447204969,0.19816053511705686,0.31225296442687744,1196,322,0,0,10354,119,,0.0,,119,0,1196,119,1.7582639251656236,-1.7414992300907997,31.1,1112,1.8004777011228226,-1.7868602928236164
hourly_max,L1_proxy_weather_radiation,official_wbgt_c_max,proxy;weather_core;radiation_basic;radiation_extra,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;cloud_cover;direct_radiation;diffuse_radiation,8,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1.3078508851890465,S142,0.7175038109129697,S137,10473,1.0099222235539185,1.3865037067221546,0.002250428959507513,0.6423451979678247,334,186,9091,862,0.6423076923076924,0.2792642140468227,0.38927738927738925,1196,520,0,0,10354,119,,0.0,,119,0,1196,119,1.720328316201102,-1.6738373956909962,31.1,1112,1.7493097992013724,-1.7063228709680296
hourly_max,L1_proxy_weather_time,official_wbgt_c_max,proxy;weather_core;time,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;hour_sin_v09;hour_cos_v09,6,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1.380373651092663,S139,0.934295300769475,S139,10473,1.0082494624393228,1.3440104619072737,0.0030119762532069836,0.6639319011663651,173,32,9245,1023,0.8439024390243902,0.14464882943143811,0.24696645253390434,1196,205,0,0,10354,119,,0.0,,119,0,1196,119,1.7530140903084248,-1.7455101176095973,31.1,1112,1.8025228130055384,-1.7966308412982905
hourly_max,M4_like_inertia_ridge,official_wbgt_c_max,m4_like_inertia,wbgt_proxy_v09_c;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;shortwave_lag_1h;shortwave_lag_2h;shortwave_3h_mean;cumulative_day_shortwave_whm2;temperature_lag_1h;dTair_dt_1h;proxy_lag_1h;proxy_3h_mean;diffuse_fraction;direct_fraction;cloud_cover;hour_sin_v09;hour_cos_v09,18,10473,27,27,loso,sklearn,False,SimpleImputer(strategy=median),"StandardScaler(with_mean=True, with_std=True)",1.0,C:\Users\CloudStar\anaconda3\envs\openheat\python.exe,C:\Users\CloudStar\anaconda3\Scripts\conda.exe run -n openheat --no-capture-output python -X faulthandler -u scripts\v11_l1_run_model_registry.py --registry configs/v11/level1_feature_ablation_registry.yaml --out-dir outputs/v11_level1/feature_ablation --ridge-backend sklearn,1.2351143156495816,S142,0.7135505879901802,S139,10473,0.9365263076352396,1.2726708251248726,0.003675488222450668,0.6986618155710229,361,112,9165,835,0.7632135306553911,0.30183946488294316,0.43259436788496103,1196,473,0,0,10354,119,,0.0,,119,0,1196,119,1.5712671272927585,-1.5251688349245418,31.1,1112,1.6092667480301703,-1.570799653369628
