candidate_id,candidate_role,candidate_family,implementation_status,row_unit,formula_definition,required_columns,missing_columns,source,assumptions,can_compute
M4_inertia_ridge,score_comparator,current_oof_score,available,residual_model_row,"OOF model_score from residual_weather_merge_full_period; comparator score, not raw formula.",model_name;model_score;official_wbgt_c,,outputs/v11_systema_l1_high_tail/weather_regime_merge_full_period/residual_weather_merge_full_period.csv,Retains residual-row OOF scores including LOSO and blocked-time rows.,True
M7_compact_weather_ridge,score_comparator,current_oof_score,available,residual_model_row,"OOF model_score from residual_weather_merge_full_period; comparator score, not raw formula.",model_name;model_score;official_wbgt_c,,outputs/v11_systema_l1_high_tail/weather_regime_merge_full_period/residual_weather_merge_full_period.csv,Retains residual-row OOF scores including LOSO and blocked-time rows.,True
wbgt_proxy_v09_c,raw_proxy,existing_v09_proxy,available,unique_station_hour,Existing wbgt_proxy_v09_c from OOF rows.,official_wbgt_c;wbgt_proxy_v09_c,,found_in_oof_predictions,Comparator proxy only; not promoted as canonical WBGT_A.,True
stull_globe_shortwave_radiation_k0p002_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,available,unique_station_hour,"wetbulb=Stull(T,RH); globe_simple=T + k*radiation/sqrt(wind_speed_10m + wind_floor); WBGT_proxy=0.7*wetbulb + 0.2*globe_simple + 0.1*T",temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,computed_from_residual_weather_merge_full_period,k=0.002; wind_floor=0.25; radiation_input=shortwave_radiation; screening formula only.,True
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,available,unique_station_hour,"wetbulb=Stull(T,RH); globe_simple=T + k*radiation/sqrt(wind_speed_10m + wind_floor); WBGT_proxy=0.7*wetbulb + 0.2*globe_simple + 0.1*T",temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,computed_from_residual_weather_merge_full_period,k=0.003; wind_floor=0.25; radiation_input=shortwave_radiation; screening formula only.,True
stull_globe_shortwave_radiation_k0p0045_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,available,unique_station_hour,"wetbulb=Stull(T,RH); globe_simple=T + k*radiation/sqrt(wind_speed_10m + wind_floor); WBGT_proxy=0.7*wetbulb + 0.2*globe_simple + 0.1*T",temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,computed_from_residual_weather_merge_full_period,k=0.0045; wind_floor=0.25; radiation_input=shortwave_radiation; screening formula only.,True
stull_globe_shortwave_radiation_k0p006_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,available,unique_station_hour,"wetbulb=Stull(T,RH); globe_simple=T + k*radiation/sqrt(wind_speed_10m + wind_floor); WBGT_proxy=0.7*wetbulb + 0.2*globe_simple + 0.1*T",temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,computed_from_residual_weather_merge_full_period,k=0.006; wind_floor=0.25; radiation_input=shortwave_radiation; screening formula only.,True
stull_globe_shortwave_radiation_k0p008_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,available,unique_station_hour,"wetbulb=Stull(T,RH); globe_simple=T + k*radiation/sqrt(wind_speed_10m + wind_floor); WBGT_proxy=0.7*wetbulb + 0.2*globe_simple + 0.1*T",temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,computed_from_residual_weather_merge_full_period,k=0.008; wind_floor=0.25; radiation_input=shortwave_radiation; screening formula only.,True
stull_globe_shortwave_radiation_k0p01_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,available,unique_station_hour,"wetbulb=Stull(T,RH); globe_simple=T + k*radiation/sqrt(wind_speed_10m + wind_floor); WBGT_proxy=0.7*wetbulb + 0.2*globe_simple + 0.1*T",temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,computed_from_residual_weather_merge_full_period,k=0.01; wind_floor=0.25; radiation_input=shortwave_radiation; screening formula only.,True
stull_globe_shortwave_radiation_k0p012_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,available,unique_station_hour,"wetbulb=Stull(T,RH); globe_simple=T + k*radiation/sqrt(wind_speed_10m + wind_floor); WBGT_proxy=0.7*wetbulb + 0.2*globe_simple + 0.1*T",temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,computed_from_residual_weather_merge_full_period,k=0.012; wind_floor=0.25; radiation_input=shortwave_radiation; screening formula only.,True
stull_globe_shortwave_radiation_k0p002_wf0p5,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,available,unique_station_hour,"wetbulb=Stull(T,RH); globe_simple=T + k*radiation/sqrt(wind_speed_10m + wind_floor); WBGT_proxy=0.7*wetbulb + 0.2*globe_simple + 0.1*T",temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation,,computed_from_residual_weather_merge_full_period,k=0.002; wind_floor=0.5; radiation_input=shortwave_radiation; screening formula only.,True
