qa_run_id,cell_id,typology_label,hour_sgt,scenario_id,forcing_id,forcing_file,qa_role,expected_direction,notes
v12_formal_hotday_core8_TP_0565_h10_base,TP_0565,school_gate_asphalt_road_edge_hot_anchor,10,base,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h10.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0565_h10_overhead,TP_0565,school_gate_asphalt_road_edge_hot_anchor,10,overhead_as_canopy,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h10.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0565_h12_base,TP_0565,school_gate_asphalt_road_edge_hot_anchor,12,base,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h12.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0565_h12_overhead,TP_0565,school_gate_asphalt_road_edge_hot_anchor,12,overhead_as_canopy,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h12.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0565_h13_base,TP_0565,school_gate_asphalt_road_edge_hot_anchor,13,base,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h13.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0565_h13_overhead,TP_0565,school_gate_asphalt_road_edge_hot_anchor,13,overhead_as_canopy,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h13.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0565_h15_base,TP_0565,school_gate_asphalt_road_edge_hot_anchor,15,base,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h15.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0565_h15_overhead,TP_0565,school_gate_asphalt_road_edge_hot_anchor,15,overhead_as_canopy,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h15.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0565_h16_base,TP_0565,school_gate_asphalt_road_edge_hot_anchor,16,base,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h16.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0565_h16_overhead,TP_0565,school_gate_asphalt_road_edge_hot_anchor,16,overhead_as_canopy,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h16.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0986_h10_base,TP_0986,low_rise_residential_high_exposure_null_control,10,base,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h10.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0986_h10_overhead,TP_0986,low_rise_residential_high_exposure_null_control,10,overhead_as_canopy,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h10.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0986_h12_base,TP_0986,low_rise_residential_high_exposure_null_control,12,base,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h12.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0986_h12_overhead,TP_0986,low_rise_residential_high_exposure_null_control,12,overhead_as_canopy,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h12.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0986_h13_base,TP_0986,low_rise_residential_high_exposure_null_control,13,base,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h13.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0986_h13_overhead,TP_0986,low_rise_residential_high_exposure_null_control,13,overhead_as_canopy,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h13.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0986_h15_base,TP_0986,low_rise_residential_high_exposure_null_control,15,base,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h15.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0986_h15_overhead,TP_0986,low_rise_residential_high_exposure_null_control,15,overhead_as_canopy,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h15.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0986_h16_base,TP_0986,low_rise_residential_high_exposure_null_control,16,base,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h16.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
v12_formal_hotday_core8_TP_0986_h16_overhead,TP_0986,low_rise_residential_high_exposure_null_control,16,overhead_as_canopy,formal_hotday_from_v11_formal_snapshot_TBD,data/solweig/v12_formal_hotday_forcing/v12_formal_hotday_S128_h16.txt,optional_core8_full_formal_hotday_followup,run only if 20-run smoke passes; compare ranks/deltas against v10-epsilon forcing,optional full Core-8 formal-hot-day matrix; not scale design yet
