cell_id,scenario,svf_path_or_zip,exists,status,svf_rule,claim_boundary
TP_0972,base,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0972/svf_base/svfs.zip,false,PENDING_QGIS_SVF_GENERATION,scenario_specific; overhead_as_canopy must not reuse base SVF,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0972,overhead_as_canopy,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0972/svf_overhead_as_canopy/svfs.zip,false,PENDING_QGIS_SVF_GENERATION,scenario_specific; overhead_as_canopy must not reuse base SVF,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0015,base,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0015/svf_base/svfs.zip,false,PENDING_QGIS_SVF_GENERATION,scenario_specific; overhead_as_canopy must not reuse base SVF,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0015,overhead_as_canopy,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0015/svf_overhead_as_canopy/svfs.zip,false,PENDING_QGIS_SVF_GENERATION,scenario_specific; overhead_as_canopy must not reuse base SVF,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0431,base,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0431/svf_base/svfs.zip,false,PENDING_QGIS_SVF_GENERATION,scenario_specific; overhead_as_canopy must not reuse base SVF,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0431,overhead_as_canopy,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0431/svf_overhead_as_canopy/svfs.zip,false,PENDING_QGIS_SVF_GENERATION,scenario_specific; overhead_as_canopy must not reuse base SVF,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0016,base,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0016/svf_base/svfs.zip,false,PENDING_QGIS_SVF_GENERATION,scenario_specific; overhead_as_canopy must not reuse base SVF,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0016,overhead_as_canopy,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0016/svf_overhead_as_canopy/svfs.zip,false,PENDING_QGIS_SVF_GENERATION,scenario_specific; overhead_as_canopy must not reuse base SVF,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0564,base,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0564/svf_base/svfs.zip,false,PENDING_QGIS_SVF_GENERATION,scenario_specific; overhead_as_canopy must not reuse base SVF,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0564,overhead_as_canopy,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0564/svf_overhead_as_canopy/svfs.zip,false,PENDING_QGIS_SVF_GENERATION,scenario_specific; overhead_as_canopy must not reuse base SVF,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0650,base,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0650/svf_base/svfs.zip,false,PENDING_QGIS_SVF_GENERATION,scenario_specific; overhead_as_canopy must not reuse base SVF,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
